,date,human_factor
151,2020-03-16,2.458098244695076
152,2020-03-17,2.2137536551260886
153,2020-03-18,2.3138227449059547
154,2020-03-19,2.3705059299949376
155,2020-03-20,2.278857612465501
156,2020-03-23,2.470355529447345
157,2020-03-24,2.1948132254093573
158,2020-03-25,2.2276088998102943
159,2020-03-26,2.0443348211368733
160,2020-03-27,2.1347097063949296
161,2020-03-30,1.2044189938361995
162,2020-04-02,1.154001261399657
163,2020-04-03,1.1224209439975852
164,2020-04-06,1.262609780851323
165,2020-04-07,1.187305502924246
166,2020-04-08,1.2414998028025552
167,2020-04-09,1.2385725419307667
168,2020-04-10,1.1623078716465882
169,2020-04-13,1.2100702501766907
170,2020-04-14,1.163872132541592
171,2020-04-15,1.1242394776076712
172,2020-04-16,1.1577067464372741
173,2020-04-17,1.1947380269518046
174,2020-04-20,1.2024004608548862
175,2020-04-21,1.1849420648600617
176,2020-04-22,1.1497572857706533
177,2020-04-23,1.1753840752505402
178,2020-04-24,1.16718532324508
179,2020-04-27,1.202474295140128
180,2020-04-28,1.1801082271687124
181,2020-04-29,1.226521903527828
182,2020-04-30,1.179819569689143
183,2020-05-12,1.283905585543485
184,2020-05-13,1.330011448208862
185,2020-05-14,1.3119411305225577
186,2020-05-15,1.3682722924927693
187,2020-05-18,1.4461063698880154
188,2020-05-19,1.4601212204183802
189,2020-05-20,1.4808810119437024
190,2020-05-21,1.5463833940562124
191,2020-05-22,1.6375320529138362
192,2020-05-25,1.7633261175062322
193,2020-05-26,1.6167204372950037
194,2020-05-27,1.562128239940627
195,2020-05-28,1.5881729730904
196,2020-05-29,1.6441047407664429
197,2020-06-01,1.9468042465267912
198,2020-06-02,1.9188532139627483
199,2020-06-03,1.8657213071083292
200,2020-06-04,1.8480464536768537
201,2020-06-08,1.8792465180126512
202,2020-06-09,2.042798566070016
203,2020-06-10,2.147813327275152
204,2020-06-11,2.209258813278403
205,2020-06-15,2.2319107484514027
206,2020-06-16,2.2342394175888254
207,2020-06-17,2.5101380051455404
208,2020-06-18,2.564102159906534
209,2020-06-19,2.599517051576734
210,2020-06-22,2.4251459895173877
211,2020-06-23,2.192730633688562
212,2020-06-24,2.0680194379190944
213,2020-06-25,2.191942735640554
214,2020-06-26,2.3363198184309626
215,2020-06-29,2.355737521092881
216,2020-06-30,2.1767779302570545
217,2020-07-01,2.1248432675652196
218,2020-07-02,2.3677661640802077
219,2020-07-03,2.5818221831071066
220,2020-07-06,2.79806555249672
221,2020-07-07,2.9248878258931303
222,2020-07-08,2.649826792993786
223,2020-07-09,2.222202370542206
224,2020-07-10,2.1894902602936805
225,2020-07-13,2.4592422740473956
226,2020-07-14,2.1360499481927073
227,2020-07-15,2.1964417145192447
228,2020-07-16,2.1040949912274516
229,2020-07-17,1.951834211360461
230,2020-07-20,2.1554414714489583
231,2020-07-21,2.1311151887996167
232,2020-07-22,2.4255581638277253
233,2020-07-23,2.04160132873698
234,2020-07-24,1.9056426017997894
235,2020-07-27,2.2216730595158003
236,2020-07-28,2.3460145726397723
237,2020-07-29,2.3682369685169666
238,2020-07-30,2.1060663231427834
239,2020-07-31,2.026522556176935
240,2020-08-03,2.1347070522343548
241,2020-08-04,2.159711754935959
242,2020-08-05,2.222386340208919
243,2020-08-06,2.3840757173060037
244,2020-08-07,2.2026698114861096
245,2020-08-10,2.4499758174833395
246,2020-08-11,2.1017743454241535
247,2020-08-12,1.9984549081539256
248,2020-08-13,1.9526058547925
249,2020-08-14,1.8928400054409753
250,2020-08-17,2.0058718556308257
251,2020-08-18,2.009915757694014
252,2020-08-19,1.8912426893140302
253,2020-08-20,1.9443743499104742
254,2020-08-21,1.9099990769279442
255,2020-08-24,2.068798603852595
256,2020-08-25,2.077640782731467
257,2020-08-26,2.0979525551085363
258,2020-08-27,2.0198647953628424
259,2020-08-28,2.0442017204816985
260,2020-08-31,2.387348681474474
261,2020-09-01,2.0358834092935005
262,2020-09-02,2.0010299786604593
263,2020-09-03,2.0427932759098373
264,2020-09-04,2.0515968470547996
265,2020-09-07,2.2101481836908063
266,2020-09-08,2.0403314695861794
267,2020-09-09,2.021301026541061
268,2020-09-10,2.030950012224206
269,2020-09-11,1.8940548817097682
270,2020-09-14,1.9321869492538615
271,2020-09-15,1.9522772713976824
272,2020-09-16,1.8825765335167781
273,2020-09-17,1.8564413010761427
274,2020-09-18,1.7910073228762937
275,2020-09-21,2.1259085978793864
276,2020-09-22,1.8562649320965143
277,2020-09-23,1.9762279392204147
278,2020-09-24,1.6040425807175989
279,2020-09-25,2.073779016165791
280,2020-09-28,2.1249766430012915
281,2020-09-29,1.991023333014437
282,2020-09-30,2.1424524663560027
283,2020-10-01,2.1229948795341276
284,2020-10-02,2.033534540361855
285,2020-10-05,2.23119923435159
286,2020-10-06,2.0361872948105093
287,2020-10-07,2.0847417268085007
288,2020-10-08,2.158444910703084
289,2020-10-09,2.065960210595802
290,2020-10-14,2.0250899765463983
291,2020-10-15,2.06748323881314
292,2020-10-16,2.129594347705427
293,2020-10-19,2.5110242299241055
294,2020-10-20,2.318344767662986
295,2020-10-21,2.3378529948202695
